	Acinetobacterjohnsonii	Actinobaculumschaalii	Actinobaculumurinae	Actinomyceseuropaeus	Actinomycesgraevenitzii	Actinomycesneuii	Actinomycesodontolyticus	Actinomycesoris  	Actinomycesradingae	Actinomycesturicensis	Actinomycesurogenitalis	Aerococcus christensenii	Aerococcussanguinicola	Aerococcusurinae	Aerococcusviridans	Alloscardoviaomnicolens	Arthrobactercumminsii	Bacillusinfantis	Bacillussubtilis	Bifidobacteriumbifidum 	Bifidobacteriumbreve	Bifidobacteriumdentum 	Bidifobacteriumlongum 	Brevibacteriumpaucivorans	Brevibacteriumravenspurgense	Candidaalbicans	Candidaglabrata	Candidaparapsilosis	Candidalusitaniae	Citrobacterfreundii	Citrobacterkoseri	Corynebacteriumafermentas	Corynebacteriumamycolatum	Corynebacteriumaurimucosum	Corynebacteriumcoyleae	Corynebacteriumfreneyi	Corynebacteriumglucuronolyticum	Corynebacteriumimitans	Corynebacteriumjeikeium	Corynebacteriumlipophilegroup	Corynebacteirummatruchotii  	Corynebacteriumminutissimum 	Corynebacteriumriegelii	Corynebacteriumsimulans	Corynebacteriumspecies	Corynebacteriumstriatum	Corynebacteriumtuberculostericum	Corynebacteriumtuscaniense	Corynebacteriumurealyticum	Dermabacterhominis	Dialistermicroaerophilus	Enterobacteraerogenes	Enterobacterasburiae	Enterobactercloacae	Enterobacterludwigii	Enterococcusfaecalis	Enterococcusfaecium	Escherichiacoli	Facklamiahominis	Fingoldiamagna 	Fusobacteriumnucleatum 	Gardnerellaspecies	Gardnerellavaginalis	Gemellahaemolysans	Gemellasanguninis  	Globicatellasulfidiciens	Haemophilusparainfluenzae	Klebsiellapneumoniae	Kocuriarhizophila	Kytococcusschroeteri	Lactobacilluscrispatus	Lactobacillusdelbrueckii	Lactobacillusfermentum	Lactobacillusgasseri	Lactobacillusiners	Lactobacillusjensenii	Lactobacillusjohnsonii	Lactobacillusparacasei	Lactobacilluspentosus	Lactobacillusreuteri	Lactobacillusrhamnosus	Micrococcusluteus	Micrococcuslylae	Morganellamorganii	Neisseriaflavescens	Neisseriaperflava	Oligellaurethralis	Peptoniphilusharei 	Prevotellabivia	Propionibacteriumacnes	Propionibacteriumavidum	Propionimicrobiumlymphophilum	Proteusmirabilis	Pseudomonasaeruginosa 	Rothiaaeria	Rothiadentocariosa	Rothiamucilaginosa	Serratiamarcescens	Slackiaexigua   	Staphylococcusaureus	Staphylococcuscapitis	Staphylococcuscaprae	Staphylococcusepidermidis	Staphylococcushaemolyticus	Staphylococcushominis	Staphylococcuslugdunesis 	Staphylococcuspettenkoferi	Staphylococcussimulans	Staphylococcuswarneri	Streptococcusagalactiae	Streptococcusanginosus	Streptococcusconstellatus	Streptococcuscristatus	Streptococcusgallolyticus	Streptococcusgordonii	Streptococcusmitisoralispneumoniae	Streptococcusparasanguinis	Streptococcussalivarius	Streptococcussanguinis	Streptococcusvestibularis	Trueperellabernardiae	Unknown
C013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	50	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
C019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	30
C020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
C023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35000	0	0	10	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0
